ID	ID_ALUNO	ID_CURSO	AcertosConhecEspecificos	PercenConhecEspecificos	AcertosfundaGerais	PercenFundaGerais	NotasTeste	PercenTotal	ClassGeral	ClassUnidade
1125	1125	1125	11	36,67	3	30	14	35	15	7
1126	1126	1126	10	33,33	6	60	16	40	13	10
1127	1127	1127	8	26,67	4	40	12	30	17	11
1128	1128	1128	9	30	6	60	15	37,5	14	3
1129	1129	1129	12	40	3	30	15	37,5	14	10
1130	1130	1130	20	66,67	7	70	27	67,5	2	1
1131	1131	1131	9	30	5	50	14	35	15	12
1132	1132	1132	13	43,33	8	80	21	52,5	8	5
1133	1133	1133	9	30	1	10	10	25	19	16
1134	1134	1134	6	20	6	60	12	30	17	9
1135	1135	1135	6	20	5	50	11	27,5	18	12
1136	1136	1136	12	40	5	50	17	42,5	12	1
1137	1137	1137	9	30	7	70	16	40	13	2
1138	1138	1138	6	20	5	50	11	27,5	18	3
1139	1139	1139	6	20	4	40	10	25	19	4
1140	1140	1140	4	13,33	3	30	7	17,5	22	5
1141	1141	1141	20	66,67	5	50	10	80	5	5
1142	1142	1142	15	50	7	70	10	90	19	19
1143	1143	1143	11	55	4	40	5	30	12	12
1144	1144	1144	13	65	8	80	6,5	25	11	11
1145	1145	1145	12	60	10	100	3,33	40	5	5
1146	1146	1146	8	40	3	30	5	14	10	10
1147	1147	1147	5	25	1	10	8	15	9	9
1148	1148	1148	10	50	2	20	2	11	2	2
